iso3c,year,export_price_shock,n_commodities,total_export_share
RWA,2020,19.661617410533328,10,103.26974137843565
RWA,2021,26.459326978216865,10,104.15405497783448
RWA,2022,7.805160615721117,10,104.84037577089505
SAU,2001,-7.210695786679939,10,100.49137010882691
SAU,2002,1.6484654985910743,10,100.6107543908008
SAU,2003,12.719017191073288,10,100.35179526735762
SAU,2004,18.191506912090563,10,100.30287081364986
SAU,2005,11.820633742116827,10,100.98530443069887
SAU,2006,38.38670237665567,10,100.67119220455706
SAU,2007,5.598459345786205,10,101.3832561229179
SAU,2008,12.767715326708224,10,100.51465257576523
SAU,2009,-4.354967468674706,10,100.66076683522836
SAU,2010,29.40894869394608,10,100.80484002673441
SAU,2011,22.07507394681966,10,100.73950380168813
SAU,2012,-6.721145469183468,10,100.60931044753721
SAU,2013,-11.323424614598908,10,100.5656393337965
SAU,2014,-1.9799486810793252,10,100.30223391111025
SAU,2015,-12.927769207484102,10,100.30635176128206
SAU,2016,0.31457765225628065,10,100.26077515059005
SAU,2017,15.780545430263636,10,100.39983272881594
SAU,2018,3.7674489804963374,10,100.26664267786731
SAU,2019,-0.9000663142650535,10,100.16735757082594
SAU,2020,10.806888681658041,10,100.09900679324002
SAU,2021,31.30480955181808,10,100.05782146339618
SAU,2022,0.22944257309386218,10,100.09306767678916
SDN,2001,-11.331334249626332,8,100.02644624480334
SDN,2002,2.5569504303941764,9,100.65343903518286
SDN,2003,9.806438005593385,9,100.10355063161353
SDN,2004,25.325621333070913,9,100.08726290494748
SDN,2005,40.75133219195492,9,100.01729902718903
SDN,2006,20.624709305434276,8,100.01806524720614
SDN,2007,7.64195952144426,10,100.46944344325931
SDN,2008,32.75462502936631,9,100.22926002630817
SDN,2009,-34.49916795410638,10,100.00008875161222
SDN,2010,29.529964404504362,9,100.02024535871554
SDN,2011,28.401035665833955,10,100.13651222706392
SDN,2012,5.559555905608033,10,100.76149230665794
SDN,2013,-14.676535465791419,9,100.02976518237375
SDN,2014,-8.076806387442653,9,100.12173242425263
SDN,2015,-36.42160977181258,10,100.00321621669207
SDN,2016,0.8207431619186137,10,101.80550913301252
SDN,2017,6.471680140541361,10,104.99130455429052
SDN,2018,10.582682586306243,10,101.88668826694321
SEN,2001,-10.880382251941729,10,100.01772121920713
SEN,2002,0.8574129607291411,10,100.91879138221776
SEN,2003,8.977260967685261,9,108.38077845172255
SEN,2004,25.72077452646217,9,116.52967277480508
SEN,2005,35.22928905575377,10,117.97517692204502
SEN,2006,24.573811617028497,10,111.69559217840174
SEN,2007,11.211324894856967,9,109.82240465954496
SEN,2008,33.63094116048417,9,103.19822577176609
SEN,2009,-17.528697672946,10,111.15662632490017
SEN,2010,26.829122842424454,10,104.4419243656261
SEN,2011,30.08609174344161,10,111.53632877617542
SEN,2012,4.730330888767371,10,107.88763042626871
SEN,2013,-10.657917571247268,10,106.14339299882204
SEN,2014,-10.130134654554858,10,106.08959857159749
SEN,2015,-26.97166627077614,10,106.26148681951793
SEN,2016,-1.2942371309945395,10,106.82254669707136
SEN,2017,12.115864229499387,10,103.70501391610166
SEN,2018,10.863062301571228,10,103.88813530542775
SEN,2019,4.045620497002544,10,103.39702499906853
SEN,2020,5.71732414193309,10,101.81166379212837
SEN,2021,29.75485068841902,10,102.34907101960621
SEN,2022,14.64142351045528,10,102.23268744813522
SGP,2001,-10.628366910357975,10,100.03134429565219
SGP,2002,2.4500468508943136,10,100.0311683488557
SGP,2003,10.146251146553993,10,100.15628609224412
SGP,2004,24.918113565684845,10,100.1291726722848
SGP,2005,36.91486008768879,10,100.08859346506382
SGP,2006,24.21543657797338,10,100.05444516717742
SGP,2007,8.200241032527185,10,100.05578541988908
SGP,2008,30.770177712081033,10,100.01044226378993
SGP,2009,-28.166636025316553,10,100.03126334136387
SGP,2010,29.37438748667435,10,100.04996894365294
SGP,2011,27.77474423447226,10,100.07324592609785
SGP,2012,3.015389663840798,10,100.06286604732166
SGP,2013,-3.906158958785947,10,100.07450668444437
SGP,2014,-7.641038472147338,10,100.0949659487475
SGP,2015,-32.793843792120924,10,100.09986226291237
SGP,2016,-7.621951606264149,10,100.06743048085018
SGP,2017,16.610445553492838,10,100.05878132097621
SGP,2018,20.594481331670792,10,100.03418524590158
SGP,2019,-3.917493596459659,10,100.05473237352
SGP,2020,-8.122140009445475,10,100.09135731008324
SGP,2021,43.79792610186616,10,100.0966821795489
SGP,2022,32.55731879840322,10,100.0627782825691
SLE,2002,18.38711423173055,3,154.45655159783902
SLV,2001,-21.541048137508938,10,100.15167892702704
SLV,2002,-0.7320464760457562,10,100.62714798547415
SLV,2003,6.1412082080862715,10,100.36594452672207
SLV,2004,23.37715709596776,10,100.28089387639655
SLV,2005,35.85661549876158,10,100.09662116724971
SLV,2006,12.426645147016252,10,100.16930840450355
SLV,2007,6.975538824476189,10,100.66019605206205
SLV,2008,18.95227480352436,10,100.69011251140769
SLV,2009,-7.809485433953434,10,101.12149571319219
SLV,2010,31.392465264519206,10,100.56705418739513
SLV,2011,32.25769637514967,10,100.75722833337962
SLV,2012,-16.946705904925576,10,101.50226544733029
SLV,2013,-18.561887436740243,10,102.45849619621548
SLV,2014,12.250871827563317,10,101.84564632168585
SLV,2015,-16.79996465325951,10,104.38170114890808
SLV,2016,-1.2686416031914363,10,101.7424440045449
SLV,2017,8.203498617576642,10,100.32113158201136
SLV,2018,5.721856315323542,10,100.36746094891198
SLV,2019,-3.476830441666272,10,100.53606693506477
SLV,2020,-4.445076426937593,10,100.48462860899956
SLV,2021,41.69517201967226,10,100.79276492999229
SLV,2022,24.170463824213876,10,100.70313016538542
STP,2001,19.804607142588814,4,100
STP,2002,63.26536895137735,4,100
STP,2003,-1.4910349974593584,3,100
STP,2004,-11.459798288464778,4,100
STP,2005,-0.6414839987602616,4,99.99999999999999
STP,2006,3.4560495956012,3,100.00000000000001
STP,2007,16.902978214746213,6,100.36155472662932
STP,2008,32.21103381240675,5,100
STP,2009,-0.4330253646396364,6,100.00681224603767
STP,2010,8.432275006386588,5,100.01066243960173
STP,2011,-0.08674437835055064,5,99.99999999999999
STP,2012,-19.64646439983425,5,100
STP,2013,1.558863604976787,4,100
STP,2014,24.858753885788087,6,101.99532753043299
STP,2015,2.0265848165725764,5,100.0020750434643
STP,2016,-7.730077907002879,3,100
STP,2017,-28.732479792491905,5,99.99999999999999
STP,2018,12.369662112715508,4,100
STP,2019,2.035415521560316,3,99.99999999999999
STP,2020,1.5586594712743824,4,100.00000000000001
STP,2021,2.9592034976109547,3,100.00000000000001
STP,2022,-1.7838928137708805,5,99.99999999999999
SUR,2001,-10.336412066886341,10,160.09778974533788
SUR,2002,19.204642852419376,10,154.1070970347632
SUR,2003,6.603743106218446,9,147.28784915246104
SUR,2004,25.32833938196732,10,137.31064561675188
SUR,2005,34.231113140527135,10,123.5285326164837
SUR,2006,24.13832989489206,10,116.78137817148077
SUR,2007,14.860592809508491,10,119.59813560004865
SUR,2008,47.175109749142855,10,114.41709541209387
SUR,2009,-37.557676699423325,10,123.65461511896403
SUR,2010,25.03494590450875,10,112.40513980595303
SUR,2011,30.797147871663324,10,112.87696273323812
SUR,2012,2.9629379697060068,10,134.2505009985536
SUR,2013,-2.9218626699737547,10,117.36289972753376
SUR,2014,-11.253873278527118,10,120.13836922126198
SUR,2015,-8.854197626900646,8,101.76099372004728
SUR,2016,7.049822991597816,6,101.87401111522344
SUR,2017,2.425244358689477,10,101.63838639721517
SUR,2018,1.249486959753816,6,101.00948447014532
SUR,2019,9.267684806407322,8,101.64398191446628
SUR,2020,27.194851491799028,8,101.72613609258447
SUR,2021,4.659864143562083,10,101.65079223185425
SUR,2022,4.2155040608157615,9,101.05798045755304
SVK,2001,-9.441345206818458,10,100.62559689557378
SVK,2002,1.277489156448505,10,101.51917797365002
SVK,2003,8.429850675345666,10,102.28395659463729
SVK,2004,23.561965473267154,10,101.9199361438223
SVK,2005,30.933157917823888,10,103.53618829637367
SVK,2006,28.90005388545944,10,105.4379686881956
SVK,2007,8.352347180534645,10,105.61549416300167
SVK,2008,27.659860753408985,10,103.77820059742623
SVK,2009,-28.394695299442446,10,107.22889994106009
SVK,2010,29.800543835912467,10,104.24204021153422
SVK,2011,25.21263827767292,10,104.90848611100088
SVK,2012,-3.969192838593641,10,104.57421681575256
SVK,2013,-5.217835224710784,10,104.40190037621105
SVK,2014,-4.737019093325222,10,105.58563938840993
SVK,2015,-29.538616893145992,10,107.0706909343668
SVK,2016,-9.602065327741556,10,108.34216530906969
SVK,2017,17.686923388957936,10,106.73740548057164
SVK,2018,16.82804043669263,10,105.56448399146592
SVK,2019,-8.499926459357031,10,105.73232975550907
SVK,2020,-9.980284061539912,10,109.49848427241412
SVK,2021,51.09426807864638,10,108.09335105109483
SVK,2022,30.361920961737486,10,108.53996196823086
SVN,2001,-7.593636384806243,10,100.33959168666777
SVN,2002,-4.030824949508281,10,100.28094339613361
SVN,2003,7.380250964422092,10,100.28284580903917
SVN,2004,22.962859695987262,10,100.24470664726499
SVN,2005,20.9655919857543,10,100.40396578861169
SVN,2006,33.42672822071776,10,100.52495013131285
SVN,2007,4.430893957965658,10,100.48602518814755
SVN,2008,13.514991496330028,10,100.73538722274523
SVN,2009,-33.636821642165515,10,101.13181531986206
SVN,2010,30.92442209825858,10,101.19621101466134
SVN,2011,21.24543008494536,10,101.02203174314377
SVN,2012,-4.39531492226502,10,101.57570739471842
SVN,2013,-4.302544078477947,10,101.3667012809492
SVN,2014,-4.401570604414991,10,101.12314551856538
SVN,2015,-29.15426808497222,10,101.46109576494756
SVN,2016,-9.269032702746864,10,101.53184075894771
SVN,2017,21.697891151403184,10,101.94961757832237
SVN,2018,17.7924094867592,10,101.70376681948382
SVN,2019,-10.3651498789375,10,101.90565230680372
SVN,2020,-13.814809594309125,10,103.01700454176131
SVN,2021,52.36433308481703,10,102.91775266305135
SVN,2022,32.456264298419626,10,101.55197877323532
SWE,2001,-8.695700191309815,10,103.61689284777596
SWE,2002,1.2435978567040062,10,102.42418883365812
SWE,2003,9.284371841300018,10,103.30759282409049
