iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
CUB,Cuba,2022,100528.48,771.26,5055.16,95.6,89.22,77.37,NA,NA,15.358849315068502,11212198
CUB,Cuba,2023,100688.25,771.26,NA,96.05,89.47,78.24,NA,NA,NA,11212198
CUB,Cuba,2024,100694.4,771.26,NA,96.37,89.67,78.42,NA,NA,NA,11212198
CUW,Curacao,2020,21855.83,64.74,NA,NA,NA,NA,NA,NA,NA,191173
CUW,Curacao,2021,98726.2,1003.5,NA,54.6,50.54,8.42,NA,NA,NA,191173
CUW,Curacao,2022,246596.98,1613.16,NA,56.81,52.29,24.83,NA,NA,NA,191173
CUW,Curacao,2023,247546.55,1645.53,NA,NA,52.77,25.74,NA,NA,NA,191173
CUW,Curacao,2024,247546.55,1645.53,NA,NA,NA,NA,NA,NA,NA,191173
CYM,Cayman Islands,2020,4440.78,27.93,NA,0,NA,NA,NA,NA,NA,68722
CYM,Cayman Islands,2021,117108.19,153.61,NA,85.26,82.78,NA,NA,NA,NA,68722
CYM,Cayman Islands,2022,439497.84,516.7,NA,89.97,88.09,35.02,NA,NA,NA,68722
CYM,Cayman Islands,2023,439497.84,516.7,NA,90.38,88.32,35.02,NA,NA,NA,68722
CYM,Cayman Islands,2024,439497.84,516.7,NA,NA,NA,NA,NA,NA,NA,68722
CYP,Cyprus,2020,14565.38,85.63,238.86,NA,NA,NA,30.13,178.57,53.760801104972366,896007
CYP,Cyprus,2021,112551.23,478.45,973.48,71.53,67.84,29.94,63.62,335.94,59.17147945205479,896007
CYP,Cyprus,2022,472074.75,942.63,1633.89,74.88,72.1,53.63,46.88,301.34,22.921342465753415,896007
CYP,Cyprus,2023,507076.12,1047.04,1817.01,74.91,72.11,53.71,11.16,100.45,NA,896007
CYP,Cyprus,2024,523075.38,1089.85,NA,NA,NA,NA,NA,NA,NA,896007
CZE,Czechia,2020,63248.23,1065,1421.45,0.11,0,NA,115.5,783.69,45.27204419889503,10493990
