iso3c,mean_elevation,sd_elevation,min_elevation,max_elevation,range_elevation,cv_elevation,ruggedness_index,terrain_heterogeneity
ESP,646.0871771217712,401.5711267970222,-2,2330,2332,0.6205827298003358,401.5711267970222,3.60384208256557
LKA,146.11344537815125,257.7149010014863,1,1724,1723,1.7518106542813736,257.7149010014863,11.712049810070546
SDN,526.5980837115482,193.98578956499134,0,1986,1986,0.36767720648327545,193.98578956499134,3.7642289866348317
SUR,160.09751037344398,114.34865181795125,2,517,515,0.7098101736822432,114.34865181795125,3.19682159461165
SWE,317.51200252684777,261.1003808128844,0,1299,1299,0.8197505235014682,261.1003808128844,4.0783392452863865
CHE,1288.109649122807,703.3289511137488,294,2863,2569,0.5455928063158467,703.3289511137488,1.9928483211246713
SYR,518.4952893674293,268.26972721707233,5,2048,2043,0.5164045424622323,268.26972721707233,3.9326631863932535
TJK,2872.5644916540214,1519.6991273616654,293,5445,5152,0.5288550619885088,1519.6991273616654,1.792895205576024
TZA,998.5435897435898,472.87654517955644,0,3857,3857,0.47309246943483696,472.87654517955644,3.8587611781787583
THA,281.30616740088107,264.2745648067853,-1,1345,1346,0.9361274932102688,264.2745648067853,4.767873165479413
TLS,367.3150684931507,308.69851692730924,3,1434,1431,0.8381370824448088,308.69851692730924,3.885260534830959
TGO,252.50704225352112,138.35306965924175,9,713,704,0.5457563167846083,138.35306965924175,2.777043169064948
TON,42.588235294117645,66.3320927158504,1,324,323,1.521788901713167,66.3320927158504,7.410256410256411
TTO,69.52941176470588,76.55587592756962,4,303,299,1.0854461140689604,76.55587592756962,4.239366138448707
TUN,245.9798449612403,225.21314520530962,-20,1133,1153,0.9118685180187612,225.21314520530962,4.66839713249049
TUR,1081.9172673143216,643.7496169542204,1,2941,2940,0.5944587240267628,643.7496169542204,2.7148888366064363
TKM,207.3542288557214,241.20743618678983,-30,2235,2265,1.1576795801625808,241.20743618678983,10.87090966398594
TUV,6,3.2914029430219167,2,11,9,0.4702004204317024,3.2914029430219167,1.2857142857142858
UGA,1161.158031088083,289.7445198733481,615,3598,2983,0.24931593821373133,289.7445198733481,2.5667765658403052
UKR,176.42503438789547,150.71628389458425,-1,1357,1358,0.8494645888870496,150.71628389458425,7.65393680032251
ARE,111.75167785234899,116.2351561669785,1,948,947,1.030895135052369,116.2351561669785,8.398988095238096
GBR,140.01015873015874,126.0305821921315,0,753,753,0.8937695221895849,126.0305821921315,5.340040794088909
USA,673.3478588235295,670.8310676024407,-71,3634,3705,0.9947849004411103,670.8310676024407,5.494197025350924
URY,104.52507374631269,65.19697541881193,0,314,314,0.6178339716260097,65.19697541881193,2.975596119978755
UZB,391.1631713554987,560.5673919295944,-4,3520,3524,1.4294238543410698,560.5673919295944,8.986055441716807
VUT,194.76984126984127,145.7174341085328,6,813,807,0.7443303481442873,145.7174341085328,4.122187538006243
VEN,339.8359824146094,420.3668879896334,-33,3639,3672,1.233340696635365,420.3668879896334,10.77351039636772
VNM,387.76669348350765,393.56077345214294,-1,1824,1825,1.0123315089718163,393.56077345214294,4.694332180689806
PSE,259.3235294117647,268.4683515672311,-290,785,1075,1.0312873068902788,268.4683515672311,4.129476895266071
YEM,872.3802631578948,569.252276399119,0,2709,2709,0.6517805592959756,569.252276399119,3.1017417203876647
ZMB,1119.6295838483725,218.6873603598391,384,1785,1401,0.19514687414269508,218.6873603598391,1.2501900897429488
ZWE,955.8974556669236,309.4578659586899,207,1817,1610,0.32339710396973387,309.4578659586899,1.6825209331107345
